1, phenomena:abandoned_mansion, HEADING, header:ignore, 0, 0, 0
2, awesomedungeon:abandoned_oak_palace, HEADING, header:ignore, 0, 0, 0
3, dungeons_arise:abandoned_temple, HEADING, header:ignore, 0, 0, 0
4, dungeons_arise:abandoned_temple, MONSTER, minecraft:stray, 10, 1, 1
5, kellomod:abandoned_watchtower, HEADING, header:ignore, 0, 0, 0
6, hopo:acacia_mineshaft, HEADING, header:ignore, 0, 0, 0
7, graveyard:altar, HEADING, header:ignore, 0, 0, 0
8, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
9, dungeons_arise:aviary, HEADING, header:ignore, 0, 0, 0
10, dungeons_arise:aviary, MONSTER, minecraft:phantom, 60, 2, 3
11, totw_modded:badlands, HEADING, header:ignore, 0, 0, 0
12, hopo:bamboo_mineshaft, HEADING, header:ignore, 0, 0, 0
13, dungeons_arise:bandit_towers, HEADING, header:ignore, 0, 0, 0
14, dungeons_arise:bandit_village, HEADING, header:ignore, 0, 0, 0
15, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
16, dungeons_arise:bathhouse, HEADING, header:ignore, 0, 0, 0
17, awesomedungeon:better_default_jungle_temple, HEADING, header:ignore, 0, 0, 0
18, hopo:birch_mineshaft, HEADING, header:ignore, 0, 0, 0
19, awesomedungeonocean:brigantine, HEADING, header:ignore, 0, 0, 0
20, kellomod:buried_bastion, HEADING, header:ignore, 0, 0, 0
21, kellomod:buried_bastion, MONSTER, minecraft:piglin_brute, 10, 1, 6
22, kellomod:buried_bastion, MONSTER, minecraft:piglin, 10, 1, 10
23, kellomod:buried_shipwreck, HEADING, header:ignore, 0, 0, 0
24, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
25, stellarity:campsite, HEADING, header:ignore, 0, 0, 0
26, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
27, stellarity:chapel_of_light, HEADING, header:ignore, 0, 0, 0
28, hopo:cherry_mineshaft, HEADING, header:ignore, 0, 0, 0
29, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
30, kellomod:collapsed_end_city, HEADING, header:ignore, 0, 0, 0
31, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
32, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
33, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
34, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
35, nyctocosm:crypts/dream, HEADING, header:ignore, 0, 0, 0
36, hopo:dark_oak_mineshaft, HEADING, header:ignore, 0, 0, 0
37, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
38, phenomena:deepslate_hill, HEADING, header:ignore, 0, 0, 0
39, hopo:deepslate_mineshaft, HEADING, header:ignore, 0, 0, 0
40, totw_modded:derelict, HEADING, header:ignore, 0, 0, 0
41, totw_modded:derelict_grass, HEADING, header:ignore, 0, 0, 0
42, totw_modded:desert, HEADING, header:ignore, 0, 0, 0
43, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
44, awesomedungeon:desert_temple_husk, HEADING, header:ignore, 0, 0, 0
45, phenomena:doorbox, HEADING, header:ignore, 0, 0, 0
46, dungeoncrawl:dungeon, HEADING, header:ignore, 0, 0, 0
47, totw_modded:end, HEADING, header:ignore, 0, 0, 0
48, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
49, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
50, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
51, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
52, phenomena:end_house, HEADING, header:ignore, 0, 0, 0
53, awesomedungeonend:end_palace, HEADING, header:ignore, 0, 0, 0
54, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
55, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
56, totw_modded:everbright, HEADING, header:ignore, 0, 0, 0
57, totw_modded:everdawn, HEADING, header:ignore, 0, 0, 0
58, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
59, towns_and_towers:exclusives/pillager_outpost_classic, MONSTER, minecraft:pillager, 10, 1, 2
60, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
61, towns_and_towers:exclusives/pillager_outpost_iberian, MONSTER, minecraft:pillager, 10, 1, 2
62, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
63, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 10, 1, 2
64, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
65, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 10, 1, 2
66, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
67, towns_and_towers:exclusives/pillager_outpost_rustic, MONSTER, minecraft:pillager, 10, 1, 2
68, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
69, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 10, 1, 2
70, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
71, towns_and_towers:exclusives/pillager_outpost_tudor, MONSTER, minecraft:pillager, 10, 1, 2
72, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
73, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
74, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
75, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
76, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
77, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
78, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
79, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
80, imst:farm/crimson_fungus, HEADING, header:ignore, 0, 0, 0
81, imst:farm/warped_fungus, HEADING, header:ignore, 0, 0, 0
82, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
83, simply_houses:forest_chapel, HEADING, header:ignore, 0, 0, 0
84, simply_houses:forest_fort, HEADING, header:ignore, 0, 0, 0
85, simply_houses:forest_house, HEADING, header:ignore, 0, 0, 0
86, simply_houses:forest_stonemason, HEADING, header:ignore, 0, 0, 0
87, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
88, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
89, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
90, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
91, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
92, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
93, stellarity:fossil, HEADING, header:ignore, 0, 0, 0
94, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
95, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
96, awesomedungeonocean:frigate_medium, HEADING, header:ignore, 0, 0, 0
97, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
98, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
99, totw_modded:glacio, HEADING, header:ignore, 0, 0, 0
100, dungeons_arise:greenwood_pub, HEADING, header:ignore, 0, 0, 0
101, ars_nouveau:guardian_wilden_den, HEADING, header:ignore, 0, 0, 0
102, ars_nouveau:guardian_wilden_den, MONSTER, ars_nouveau:wilden_guardian, 10, 1, 3
103, graveyard:haunted_house, HEADING, header:ignore, 0, 0, 0
104, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
